,slide_id,case_id,magnification,level_downsamples
749,TCGA-IK-8125-01Z-00-DX1.1491FC08-FB5D-4697-9A8C-9172FAF63C1C,TCGA-IK-8125,40x,"(1.0, 4.000065046982083, 16.00265359891477, 32.00530719782954)"
750,TCGA-KT-A74X-01Z-00-DX3.4DCD7F51-4CA2-4FAA-B2BB-9494D34C21F9,TCGA-KT-A74X,40x,"(1.0, 4.0, 16.001713495227094, 32.0087239364439)"
751,TCGA-KT-A74X-01Z-00-DX1.E6563656-1B4E-440C-8797-B78FE067390D,TCGA-KT-A74X,40x,"(1.0, 4.0, 16.000357525920627, 32.000715051841254)"
752,TCGA-KT-A74X-01Z-00-DX2.9CF10646-A8BA-44B7-B099-423861E84494,TCGA-KT-A74X,40x,"(1.0, 4.0000446368789895, 16.00125, 64.01488875154513)"
753,TCGA-KT-A7W1-01Z-00-DX1.D416EFED-F654-433B-917C-A9BE98EAA760,TCGA-KT-A7W1,40x,"(1.0, 4.000083602719875, 16.002050202815887, 32.01096578522841)"
754,TCGA-P5-A72U-01Z-00-DX1.47271109-22C2-4339-9868-CDB86166E449,TCGA-P5-A72U,40x,"(1.0, 4.000085876223736, 16.002401463336, 32.00753820313142)"
755,TCGA-P5-A72W-01Z-00-DX1.0F26308D-5394-4499-AD5C-096B7608AF45,TCGA-P5-A72W,40x,"(1.0, 4.0000667675598685, 16.00150607635958, 32.00301215271916)"
756,TCGA-P5-A72X-01Z-00-DX1.89C6551A-1AD5-49B9-9339-E213986B596D,TCGA-P5-A72X,40x,"(1.0, 4.0000667408231365, 16.00133499466002, 64.02775717548445)"
757,TCGA-P5-A72Z-01Z-00-DX1.096F894F-C7EE-4CBC-A024-26B4513126A7,TCGA-P5-A72Z,40x,"(1.0, 4.0, 16.001784662263628, 32.01071049361798)"
758,TCGA-P5-A730-01Z-00-DX1.D1267FDB-E9CF-445B-9E4F-B8D206CA7EC4,TCGA-P5-A730,40x,"(1.0, 4.0000667764768725, 16.0013357079252, 32.00773797599393)"
759,TCGA-P5-A731-01Z-00-DX1.86F64744-416E-4645-B12F-D936E174CA2D,TCGA-P5-A731,40x,"(1.0, 4.0, 16.000426803243705, 32.00423627033519)"
760,TCGA-P5-A733-01Z-00-DX1.CFA0E05F-AE51-4011-A099-3E58BB7CF592,TCGA-P5-A733,40x,"(1.0, 4.000027612105146, 16.000110448420585, 32.0037560760053)"
761,TCGA-P5-A735-01Z-00-DX1.BCFB0C97-0D3A-40E0-8925-952CFFAC7084,TCGA-P5-A735,40x,"(1.0, 4.0, 16.001533653469576, 64.02498483937701)"
762,TCGA-P5-A736-01Z-00-DX1.FCED7667-57E1-4064-89EB-75DF60076945,TCGA-P5-A736,40x,"(1.0, 4.0000453083231395, 16.001268805510243, 64.01843888409863)"
763,TCGA-P5-A737-01Z-00-DX1.221196D5-A366-499A-B4C7-8C987CCADFB6,TCGA-P5-A737,40x,"(1.0, 4.000072053031031, 16.00158361095383, 32.00316722190766)"
764,TCGA-P5-A77W-01Z-00-DX1.ECD22A66-99DC-4E3D-8006-30F16E6F8241,TCGA-P5-A77W,40x,"(1.0, 4.000139655620529, 16.001706612366444, 32.00614847197677)"
765,TCGA-P5-A77X-01Z-00-DX1.22398640-6ACD-4226-B301-E01AED3D38C1,TCGA-P5-A77X,40x,"(1.0, 4.000137652847354, 16.002753458804037, 32.00550691760807)"
766,TCGA-P5-A780-01Z-00-DX1.0C36EA77-5B13-4AA8-8C11-BF9EDC5C9153,TCGA-P5-A780,40x,"(1.0, 4.00011968377506, 16.001473627782566, 32.00294725556513)"
767,TCGA-P5-A781-01Z-00-DX1.98EFF9A5-448D-47DD-848B-29DBD40FC453,TCGA-P5-A781,40x,"(1.0, 4.000092220629046, 16.001146304872883, 32.005085966781564)"
768,TCGA-QH-A65R-01Z-00-DX1.32FE5D68-3820-4CD2-BE38-3ECB94F7A2FB,TCGA-QH-A65R,40x,"(1.0, 4.000021846463058, 16.001741858525197, 32.00628131710809)"
